April Sun in Cuba,Dragon
Are you gonna be my girl,Jet
Are you gonna go my way,Lenny Kravitz
Life in the fast lane ,Eagles
Heroes,David Bowie
Sweet home Alabama,Lynyrd Skynyrd 
Hash Pipe,Weezer
Addicted to love,Robert Palmer
Are you Old Enough?,Dragon
Wild flower,The Cult
Creep,Radiohead
Crazy little thing,Queen
White Wedding,Billy Idol
Hard to Handle,The Black Crowes
White Room,Cream
Run to You,Bryan Adams
Rain,Dragon
Santeria,Sublime
Lonely Boy,The Black Keys
Song 2,Blur
Interstate Love Song,Stone Temple Pilots
Gimme all your lovin’,ZZ Top
Blue Lady,Hello Sailor
Brown Sugar,The Rolling Stones
Just What I needed,The Cars
Fire woman,The Cult
Come as you are,Nirvana
Santa Monica,Everclear
Mollys Chambers ,Kings of Leon
Pride,U2
Whaling,DD Smash
Honky Tonk Woman,The Rolling Stones
Tush,ZZ Top
Be Mine Tonight,Th' Dudes
Free Fallin?,Tom Petty
Why does love do this to me? ,The Exponents
Dancing in the Dark,Bruce Springsteen
Rebel Yell,Billy Idol
Dead or Alive,Bon Jovi
Everlong,Foo Fighters
Mary Jane's Last Dance,Tom Petty
Sweet Child o' mine,Guns n' Roses
Long way to the top,AC/DC
Rock and Roll,Led Zeppelin
Good Times Roll,The Cars
Get it on,T Rex
La Grange,ZZ Top
Crossroads,Cream
American Woman,The Guess Who
Dirty Deeds,AC/DC
Proud Mary,CCR
All along the watchtower,Jimi Hendrix
Love Removal Machine ,The Cult
Roadhouse Blues,The Doors
Bliss ,Th' Dudes
Look Good on the Dance Floor,Arctic Monkeys
No One Knows,Queens of the Stone Age
Mustang Sally,The Commitments 
Don’t Stop Believin’ ,Journey
Seven Nation Army ,The White Stripes
Slither,Velvet Revolver
Who loves who the most,The Exponents
Place your hands,Reef
Like a stone,Audioslave
Centrefold,The J Geils Band
Start Me Up,The Rolling Stones
Jump,Van Halen
Should I Stay or Should I go,The Clash
Get Back,The Beatles
You Shook Me All Night Long,AC/DC
Satisfaction,The Rolling Stones
The Boys are Back in Town,Thin Lizzy
The Joker,Steve Miller Band
Dani California,Red Hot Chilli Peppers
