April Sun in Cuba,Dragon,Running Free,1977,00:03:27
Are You Gonna Be My Girl,Jet,Get Born,2003-09-15,00:03:33
Are You Gonna Go My Way,Lenny Kravitz,Are You Gonna Go My Way,1993-03-09,00:03:31
Life in the Fast Lane - 2013 Remaster,Eagles,Hotel California (2013 Remaster),1976-12-08,00:04:46
Heroes - 2017 Remaster,David Bowie,"""Heroes"" (2017 Remaster)",1977,00:06:11
Sweet Home Alabama,Lynyrd Skynyrd,Second Helping (Expanded Edition),1974-04-15,00:04:43
Hash Pipe,Weezer,Weezer,2001-05-15,00:03:06
Addicted To Love,Robert Palmer,Riptide,1985-01-01,00:06:03
Are You Old Enough,Dragon,O Zambezi,1978,00:04:08
Wild Flower,The Cult,Electric,1987,00:03:37
Creep,Radiohead,Pablo Honey,1993-02-22,00:03:58
Crazy Little Thing Called Love - Remastered 2011,Queen,The Game (Deluxe Remastered Version),1980-06-27,00:02:43
White Wedding - Pt. 1,Billy Idol,Billy Idol,1982-01-01,00:04:12
Hard To Handle,The Black Crowes,Shake Your Money Maker,1990-02-13,00:03:08
White Room,Cream,Wheels Of Fire,1968-07-01,00:04:58
Run To You,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),1984-11-05,00:03:53
Rain,Dragon,Body And The Beat,1984,00:03:38
Santeria,Sublime,Sublime,1996-07-30,00:03:02
Lonely Boy,The Black Keys,El Camino,2011-12-06,00:03:13
Song 2 - 2012 Remaster,Blur,Blur (Special Edition),1997-02-10,00:02:01
Interstate Love Song - 2019 Remaster,Stone Temple Pilots,Purple (2019 Remaster),1994-06-07,00:03:14
Gimme All Your Lovin',ZZ Top,Eliminator,1983-03-23,00:04:01
Blue Lady,Hello Sailor,Hello Sailor,2012-10-01,00:04:05
Brown Sugar - Remastered 2009,The Rolling Stones,Sticky Fingers (Remastered),1971-04-23,00:03:48
Just What I Needed,The Cars,The Cars,1978-06-06,00:03:45
Come As You Are,Nirvana,Nevermind (Remastered),1991-09-26,00:03:38
Santa Monica,Everclear,Sparkle And Fade,1995-05-11,00:03:11
Pride (In The Name Of Love) - Remastered 2009,U2,The Unforgettable Fire (Remastered),1984-10-01,00:03:48
Whaling,DD Smash,Australia Rocks,2017-07-05,00:03:45
Honky Tonk Woman - Live,The Rolling Stones,Totally Stripped (Live),2016-06-03,00:04:53
Tush (2006 Remaster),ZZ Top,Fandango! (Expanded 2006 Remaster),1975-04-18,00:02:13
Be Mine Tonight,Th' Dudes,Right First Time,1979-09-26,00:06:07
Free Fallin',Tom Petty,Full Moon Fever,1989-01-01,00:04:16
Why Does Love Do This To Me,The Exponents,Something Beginning With C,1992-01-01,00:03:25
Dancing In the Dark,Bruce Springsteen,Born In The U.S.A.,1984-06-04,00:04:01
Rebel Yell,Billy Idol,Rebel Yell,1983-11-01,00:04:48
Wanted Dead Or Alive,Bon Jovi,Slippery When Wet,1986-08-16,00:05:08
Everlong,Foo Fighters,The Colour And The Shape,1997-05-20,00:04:10
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,1987-07-21,00:05:56
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,High Voltage,1976-05-14,00:05:01
Rock and Roll - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),1971-11-08,00:03:40
Bang a Gong (Get It On) - 2003 Remaster,T. Rex,Electric Warrior [Expanded & Remastered],1971-09-24,00:04:27
La Grange (2005 Remaster),ZZ Top,Tres Hombres (Expanded 2006 Remaster),1973-07-26,00:03:50
Crossroads - Live,Cream,Wheels Of Fire,1968-07-01,00:04:18
American Woman,The Guess Who,American Woman,1970-01-01,00:05:07
Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,1976-09-20,00:03:51
All Along the Watchtower,Jimi Hendrix,Electric Ladyland,1968-10-25,00:04:00
Love Removal Machine,The Cult,Electric,1987,00:04:18
Roadhouse Blues,The Doors,Morrison Hotel,1970-02-09,00:04:03
Bliss,Th' Dudes,Where Are the Boys,1980-09-26,00:04:59
I Bet You Look Good On The Dance Floor,Arctic Monkeys,Isles Of Wonder: Music For The Opening Ceremony Of The London 2012 Olympic Games,2012-01-01,00:02:51
No One Knows,Queens of the Stone Age,Songs For The Deaf,2002,00:04:38
Mustang Sally,The Commitments,The Commitments,1991-01-01,00:04:01
"Don't Stop Believin' (Live at The Summit, Houston, Texas, November 6, 1981 - 2022 Remaster)",Journey,Live In Houston 1981: The Escape Tour (2022 Remaster),2005-11-15,00:04:07
Seven Nation Army,The White Stripes,Elephant,2003-04-01,00:03:52
Slither,Velvet Revolver,Contraband,2004,00:04:08
Who Loves Who The Most,The Exponents,Something Beginning With C,1992-01-01,00:04:15
Place Your Hands,Reef,Glow,1997-01-01,00:03:38
Like a Stone,Audioslave,Audioslave,2002-11-17,00:04:53
Centrefold(As Made Famous By J. Geils Band),The Karaoke Crew,Drew's Famous # 1 Karaoke Hits: Sing like the 2011 Rock & Roll Hall of Fame Nominees,2010-11-23,00:03:55
Start Me Up - Remastered 2009,The Rolling Stones,Tattoo You (2009 Re-Mastered),1981-08-24,00:03:33
Jump - 2015 Remaster,Van Halen,1984 (Remastered),1984-01-04,00:04:01
Should I Stay or Should I Go - Remastered,The Clash,Combat Rock (Remastered),1982,00:03:08
Get Back - Remastered 2009,The Beatles,Let It Be (Remastered),1970-05-08,00:03:09
You Shook Me All Night Long,AC/DC,Back In Black,1980-07-25,00:03:30
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,1965-07-30,00:03:42
The Boys Are Back In Town,Thin Lizzy,Jailbreak (Deluxe Edition),1976,00:04:26
The Joker,Steve Miller Band,The Joker,1973-01-01,00:04:24
Dani California,Red Hot Chili Peppers,Stadium Arcadium,2006-05-09,00:04:42
